simbolo,cenario,retorno_proximo,ganhos,perdas,is_ganho_futuro,dia1,dia2,dia3,dia4,dia5,dia6,dia7,dia8,dia9,media_is_ganho_futuro
1000CHEEMSUSDT,++,-0.006686478454680511,,-0.006686478454680511,0,0.010015408320493302,0.026697177726925814,,,,,,,,0.0
1INCHUSDT,++,0.013639626704953223,0.013639626704953223,,1,0.001095690284879547,0.016417365924844995,,,,,,,,0.3333333333333333
1INCHUSDT,++,-0.02372521246458914,,-0.02372521246458914,0,0.016417365924844995,0.013639626704953223,,,,,,,,0.3333333333333333
1INCHUSDT,++,0.020039292730844815,0.020039292730844815,,1,0.002783300198807126,0.009119746233148485,,,,,,,,0.3333333333333333
1INCHUSDT,++,-0.0015408320493066618,,-0.0015408320493066618,0,0.009119746233148485,0.020039292730844815,,,,,,,,0.3333333333333333
1INCHUSDT,+++,-0.02372521246458914,,-0.02372521246458914,0,0.001095690284879547,0.016417365924844995,0.013639626704953223,,,,,,,0.3333333333333333
1INCHUSDT,+++,-0.0015408320493066618,,-0.0015408320493066618,0,0.002783300198807126,0.009119746233148485,0.020039292730844815,,,,,,,0.3333333333333333
1MBABYDOGEUSDT,++,0.013394109396914322,0.013394109396914322,,1,0.0033482937949704805,0.012496449872195337,,,,,,,,0.2
1MBABYDOGEUSDT,++,-0.01646944848107401,,-0.01646944848107401,0,0.012496449872195337,0.013394109396914322,,,,,,,,0.2
1MBABYDOGEUSDT,++,-0.012250690968850342,,-0.012250690968850342,0,0.01647004749502079,0.008892908282462919,,,,,,,,0.2
1MBABYDOGEUSDT,++,-0.007590860297500335,,-0.007590860297500335,0,0.028634534984617765,0.00015337423312877796,,,,,,,,0.2
1MBABYDOGEUSDT,+++,-0.01646944848107401,,-0.01646944848107401,0,0.0033482937949704805,0.012496449872195337,0.013394109396914322,,,,,,,0.2
A2ZUSDT,++,-0.010148849797022907,,-0.010148849797022907,0,0.013076393668272512,0.0040760869565217295,,,,,,,,0.0
A2ZUSDT,++,-0.0021066277750769746,,-0.0021066277750769746,0,0.034317089910775644,0.02372262773722622,,,,,,,,0.0
AAVEUSDT,++,0.012631770265358,0.012631770265358,,1,0.010589733238098198,0.014442873824595859,,,,,,,,0.3333333333333333
AAVEUSDT,++,-0.0011666517095936246,,-0.0011666517095936246,0,0.014442873824595859,0.012631770265358,,,,,,,,0.3333333333333333
AAVEUSDT,+++,-0.0011666517095936246,,-0.0011666517095936246,0,0.010589733238098198,0.014442873824595859,0.012631770265358,,,,,,,0.3333333333333333
ACHUSDT,++,0.009778911564625847,0.009778911564625847,,1,0.006496318752706731,0.012048192771084265,,,,,,,,0.2
ACHUSDT,++,-0.01978947368421058,,-0.01978947368421058,0,0.012048192771084265,0.009778911564625847,,,,,,,,0.2
ACHUSDT,++,-0.008763837638376515,,-0.008763837638376515,0,0.008015087223008033,0.014031805425631427,,,,,,,,0.2
ACHUSDT,++,-0.005104408352668122,,-0.005104408352668122,0,0.021042563366810096,0.00936768149882905,,,,,,,,0.2
ACHUSDT,+++,-0.01978947368421058,,-0.01978947368421058,0,0.006496318752706731,0.012048192771084265,0.009778911564625847,,,,,,,0.2
ACXUSDT,++,-0.022453450164293676,,-0.022453450164293676,0,0.02212138400453756,0.013318534961154427,,,,,,,,0.0
ADAUSDT,++,0.08212346226310552,0.08212346226310552,,1,0.009572137008418746,0.030728809687000203,,,,,,,,0.4782608695652174
ADAUSDT,++,0.040147480540762004,0.040147480540762004,,1,0.030728809687000203,0.08212346226310552,,,,,,,,0.4782608695652174
ADAUSDT,++,-0.04667191807798354,,-0.04667191807798354,0,0.08212346226310552,0.040147480540762004,,,,,,,,0.4782608695652174
ADAUSDT,++,0.03707718993928877,0.03707718993928877,,1,0.021577132688243683,0.004246053347849665,,,,,,,,0.4782608695652174
ADAUSDT,++,-0.011499059167886294,,-0.011499059167886294,0,0.004246053347849665,0.03707718993928877,,,,,,,,0.4782608695652174
ADAUSDT,++,-0.007282563462338798,,-0.007282563462338798,0,0.028298853038910998,0.0019806108620870067,,,,,,,,0.4782608695652174
ADAUSDT,++,0.00010862480990647683,0.00010862480990647683,,1,0.003065805321362136,0.004912127496998098,,,,,,,,0.4782608695652174
ADAUSDT,++,0.019984794178342646,0.019984794178342646,,1,0.004912127496998098,0.00010862480990647683,,,,,,,,0.4782608695652174
ADAUSDT,++,0.031200085187945925,0.031200085187945925,,1,0.00010862480990647683,0.019984794178342646,,,,,,,,0.4782608695652174
ADAUSDT,++,-0.001961999173895057,,-0.001961999173895057,0,0.019984794178342646,0.031200085187945925,,,,,,,,0.4782608695652174
ADAUSDT,++,-0.00817907877744306,,-0.00817907877744306,0,0.014846585285384295,0.00693541395752062,,,,,,,,0.4782608695652174
ADAUSDT,++,-0.0449330783938815,,-0.0449330783938815,0,0.00770399305555558,0.01367502961128464,,,,,,,,0.4782608695652174
ADAUSDT,++,0.002451266487685233,0.002451266487685233,,1,0.0008244023083265883,0.00811955754295135,,,,,,,,0.4782608695652174
ADAUSDT,+++,0.040147480540762004,0.040147480540762004,,1,0.009572137008418746,0.030728809687000203,0.08212346226310552,,,,,,,0.4782608695652174
ADAUSDT,+++,-0.04667191807798354,,-0.04667191807798354,0,0.030728809687000203,0.08212346226310552,0.040147480540762004,,,,,,,0.4782608695652174
ADAUSDT,+++,-0.011499059167886294,,-0.011499059167886294,0,0.021577132688243683,0.004246053347849665,0.03707718993928877,,,,,,,0.4782608695652174
ADAUSDT,+++,0.019984794178342646,0.019984794178342646,,1,0.003065805321362136,0.004912127496998098,0.00010862480990647683,,,,,,,0.4782608695652174
ADAUSDT,+++,0.031200085187945925,0.031200085187945925,,1,0.004912127496998098,0.00010862480990647683,0.019984794178342646,,,,,,,0.4782608695652174
